<X> <Y>
3.284857366030044e-02 1.575988185615072e+01
3.307649780744241e-02 2.159875742918554e+01
3.330600343624589e-02 2.815641568863737e+01
3.353710152002930e-02 3.535416898546976e+01
3.376980310825092e-02 4.311366197489882e+01
3.400411932703706e-02 5.135707603906764e+01
3.424006137971424e-02 6.000733671110992e+01
3.447764054734464e-02 6.898832341952811e+01
3.471686818926562e-02 7.822508082696476e+01
3.495775574363275e-02 8.764403099355658e+01
3.520031472796679e-02 9.717318555256108e+01
3.544455673970433e-02 1.067423570450959e+02
3.569049345675230e-02 1.162833685220712e+02
3.593813663804628e-02 1.257302604851007e+02
3.618749812411280e-02 1.350194942047253e+02
3.643858983763545e-02 1.440901504241268e+02
3.669142378402492e-02 1.528841224300799e+02
3.694601205199302e-02 1.613463024506029e+02
3.720236681413068e-02 1.694247603211061e+02
3.746050032748993e-02 1.770709133482194e+02
3.772042493416997e-02 1.842396862934007e+02
3.798215306190734e-02 1.908896603972977e+02
3.824569722466999e-02 1.969832103711217e+02
3.851107002325571e-02 2.024866282934484e+02
3.877828414589457e-02 2.073702333702371e+02
3.904735236885560e-02 2.116084665429400e+02
3.931828755705769e-02 2.151799689646622e+02
3.959110266468459e-02 2.180676434077909e+02
3.986581073580441e-02 2.202586977186550e+02
4.014242490499322e-02 2.217446694958232e+02
4.042095839796308e-02 2.225214312388417e+02
4.070142453219436e-02 2.225891752936754e+02
4.098383671757262e-02 2.219523780099359e+02
4.126820845702954e-02 2.206197426231740e+02
4.155455334718875e-02 2.186041204830111e+02
4.184288507901582e-02 2.159224103645219e+02
4.213321743847287e-02 2.125954357258449e+02
4.242556430717777e-02 2.086477999090960e+02
4.271993966306779e-02 2.041077194239107e+02
4.301635758106795e-02 1.990068356027175e+02
4.331483223376401e-02 1.933800050735346e+02
4.361537789208003e-02 1.872650696588619e+02
4.391800892596086e-02 1.807026064771923e+02
4.422273980505900e-02 1.737356591957964e+02
4.452958509942655e-02 1.664094515584899e+02
4.483855948021188e-02 1.587710844889035e+02
4.514967772036100e-02 1.508692182467910e+02
4.546295469532399e-02 1.427537412907059e+02
4.577840538376619e-02 1.344754276732207e+02
4.609604486828434e-02 1.260855849630092e+02
4.641588833612779e-02 1.176356948497110e+02
4.673795107992461e-02 1.091770487405534e+02
4.706224849841281e-02 1.007603808001839e+02
4.738879609717653e-02 9.243550101500580e+01
4.771760948938746e-02 8.425093097826037e+01
4.804870439655132e-02 7.625354519012234e+01
4.838209664925955e-02 6.848822074585460e+01
