# Eingangsdaten nach q-Umrechnung (Faktor 10 → nm^-1)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I	sigma (verwendet)
1.03082640e+00	1.51277648e-01	1.51277648e-03
1.04182990e+00	2.79705308e-01	2.79705308e-03
1.05295085e+00	4.25856398e-01	4.25856398e-03
1.06419051e+00	5.73345914e-01	5.73345914e-03
1.07555014e+00	7.06030529e-01	7.06030529e-03
1.08703104e+00	8.09535552e-01	8.09535552e-03
1.09863449e+00	8.72725780e-01	8.72725780e-03
1.11036180e+00	8.88929528e-01	8.88929528e-03
1.12221429e+00	8.56716348e-01	8.56716348e-03
1.13419330e+00	7.80068580e-01	7.80068580e-03
1.14630017e+00	6.67875501e-01	6.67875501e-03
1.15853629e+00	5.32797555e-01	5.32797555e-03
1.17090301e+00	3.89663212e-01	3.89663212e-03
1.18340175e+00	2.53638330e-01	2.53638330e-03
1.19603390e+00	1.38427908e-01	1.38427908e-03
1.20880089e+00	5.47357129e-02	5.47357129e-04
1.22170416e+00	9.13982934e-03	9.13982934e-05
1.23474517e+00	3.46950654e-03	3.46950654e-05
1.24792538e+00	3.47116474e-02	3.47116474e-04
1.26124629e+00	9.54401632e-02	9.54401632e-04
1.27470939e+00	1.74739641e-01	1.74739641e-03
1.28831620e+00	2.59568738e-01	2.59568738e-03
1.30206825e+00	3.36461851e-01	3.36461851e-03
1.31596710e+00	3.93395327e-01	3.93395327e-03
1.33001431e+00	4.21562892e-01	4.21562892e-03
1.34421147e+00	4.16750154e-01	4.16750154e-03
1.35856017e+00	3.80012778e-01	3.80012778e-03
1.37306204e+00	3.17470968e-01	3.17470968e-03
1.38771871e+00	2.39217447e-01	2.39217447e-03
1.40253183e+00	1.57538939e-01	1.57538939e-03
1.41750307e+00	8.47999979e-02	8.47999979e-04
1.43263413e+00	3.13860242e-02	3.13860242e-04
1.44792669e+00	4.05115947e-03	4.05115947e-05
1.46338250e+00	4.90789752e-03	4.90789752e-05
1.47900329e+00	3.11789242e-02	3.11789242e-04
1.49479082e+00	7.57357660e-02	7.57357660e-04
1.51074688e+00	1.28368386e-01	1.28368386e-03
1.52687325e+00	1.77639469e-01	1.77639469e-03
1.54317177e+00	2.13058936e-01	2.13058936e-03
1.55964427e+00	2.27185920e-01	2.27185920e-03
1.57629259e+00	2.17187958e-01	2.17187958e-03
1.59311864e+00	1.85436550e-01	1.85436550e-03
1.61012428e+00	1.38928310e-01	1.38928310e-03
1.62731146e+00	8.76387838e-02	8.76387838e-04
1.64468210e+00	4.22162843e-02	4.22162843e-04
1.66223816e+00	1.15841515e-02	1.15841515e-04
1.67998162e+00	1.00001416e-03	1.00001416e-05
1.69791448e+00	1.09700855e-02	1.09700855e-04
1.71603877e+00	3.72208356e-02	3.72208356e-04
1.73435652e+00	7.17414368e-02	7.17414368e-04
1.75286981e+00	1.04724070e-01	1.04724070e-03
1.77158071e+00	1.27023039e-01	1.27023039e-03
1.79049134e+00	1.32550993e-01	1.32550993e-03
1.80960384e+00	1.19930697e-01	1.19930697e-03
1.82892034e+00	9.28462532e-02	9.28462532e-04
1.84844305e+00	5.89184283e-02	5.89184283e-04
1.86817414e+00	2.74284328e-02	2.74284328e-04
1.88811585e+00	6.59926344e-03	6.59926344e-05
1.90827043e+00	1.24983840e-03	1.24983840e-05
1.92864015e+00	1.14745237e-02	1.14745237e-04
1.94922730e+00	3.26953403e-02	3.26953403e-04
1.97003421e+00	5.70928221e-02	5.70928221e-04
1.99106323e+00	7.60701941e-02	7.60701941e-04
2.01231671e+00	8.30581629e-02	8.30581629e-04
2.03379707e+00	7.57329494e-02	7.57329494e-04
2.05550671e+00	5.67934827e-02	5.67934827e-04
2.07744809e+00	3.29283966e-02	3.29283966e-04
2.09962369e+00	1.23299089e-02	1.23299089e-04
2.12203600e+00	1.70086652e-03	1.70086652e-05
2.14468754e+00	3.86158824e-03	3.86158824e-05
2.16758088e+00	1.67955372e-02	1.67955372e-04
2.19071859e+00	3.44703595e-02	3.44703595e-04
2.21410329e+00	4.91938082e-02	4.91938082e-04
2.23773760e+00	5.46944394e-02	5.46944394e-04
2.26162420e+00	4.87102531e-02	4.87102531e-04
2.28576577e+00	3.39141290e-02	3.39141290e-04
2.31016504e+00	1.66756393e-02	1.66756393e-04
2.33482476e+00	4.18853810e-03	4.18853810e-05
2.35974770e+00	1.27707836e-03	1.27707836e-05
2.38493669e+00	8.30299636e-03	8.30299636e-05
2.41039455e+00	2.10792903e-02	2.10792903e-04
2.43612417e+00	3.28631111e-02	3.28631111e-04
2.46212843e+00	3.76049118e-02	3.76049118e-04
2.48841027e+00	3.29408862e-02	3.29408862e-04
2.51497266e+00	2.13572340e-02	2.13572340e-04
2.54181858e+00	8.81838449e-03	8.81838449e-05
2.56895107e+00	1.56124871e-03	1.56124871e-05
2.59637319e+00	2.78984881e-03	2.78984881e-05
2.62408802e+00	1.10241976e-02	1.10241976e-04
2.65209869e+00	2.09808447e-02	2.09808447e-04
2.68040836e+00	2.65792751e-02	2.65792751e-04
